Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 12,582,912
  lm_head                 : 2,097,152
  transformer_matrices    : 4,718,976
  scalars                 : 12
  total                   : 21,496,204
Estimated FLOPs per token: 4.915430e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010792 | lrm: 1.00 | dt: 9090ms | tok/sec: 3,604 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.946427 | lrm: 1.00 | dt: 201ms | tok/sec: 163,419 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.667118 | lrm: 1.00 | dt: 202ms | tok/sec: 162,372 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.374587 | lrm: 1.00 | dt: 203ms | tok/sec: 161,167 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.130298 | lrm: 1.00 | dt: 204ms | tok/sec: 160,658 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.904908 | lrm: 1.00 | dt: 205ms | tok/sec: 159,714 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.708995 | lrm: 1.00 | dt: 205ms | tok/sec: 159,970 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.537808 | lrm: 1.00 | dt: 205ms | tok/sec: 160,220 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.381361 | lrm: 1.00 | dt: 204ms | tok/sec: 160,979 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.243413 | lrm: 1.00 | dt: 204ms | tok/sec: 160,291 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.119427 | lrm: 1.00 | dt: 205ms | tok/sec: 160,139 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.001260 | lrm: 1.00 | dt: 204ms | tok/sec: 160,513 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.903204 | lrm: 1.00 | dt: 204ms | tok/sec: 160,752 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.807412 | lrm: 1.00 | dt: 204ms | tok/sec: 160,376 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00316 (20.9%) | loss: 3.962655 | lrm: 1.00 | dt: 208ms | tok/sec: 157,413 | mfu: 0.8% | epoch: 1 | remaining: 237s    
step 00317 (21.0%) | loss: 3.966181 | lrm: 1.00 | dt: 207ms | tok/sec: 158,395 | mfu: 0.8% | epoch: 1 | remaining: 237s    
step 00318 (21.1%) | loss: 3.973542 | lrm: 1.00 | dt: 208ms | tok/sec: 157,611 | mfu: 0.8% | epoch: 1 | remaining: 237s    
step 00319 (21.2%) | loss: 3.973897 | lrm: 1.00 | dt: 207ms | tok/sec: 158,343 | mfu: 0.8% | epoch: 1 | remaining: 236s    
step 00320 (21.2%) | loss: 3.970300 | lrm: 1.00 | dt: 207ms | tok/sec: 158,267 | mfu: 0.8% | epoch: 1 | remaining: 236s    
step 00321 (21.3%) | loss: 3.968206 | lrm: 1.00 | dt: 208ms | tok/sec: 157,422 | mfu: 0.8% | epoch: 1 | remaining: 236s    
step 00322 (21.4%) | loss: 3.977666 | lrm: 1.00 | dt: 208ms | tok/sec: 157,726 | mfu: 0.8% | epoch: 1 | remaining: 236s    
step 00323 (21.4%) | loss: 3.965752 | lrm: 1.00 | dt: 207ms | tok/sec: 158,430 | mfu: 0.8% | epoch: 1 | remaining: 236s    
step 00324 (21.5%) | loss: 3.978975 | lrm: 1.00 | dt: 207ms | tok/sec: 158,526 | mfu: 0.8% | epoch: 1 | remaining: 235s    
step 00325 (21.6%) | loss: 3.975569 | lrm: 1.00 | dt: 208ms | tok/sec: 157,317 | mfu: 0.8% | epoch: 1 | remaining: 235s    
step 00326 (21.6%) | loss: 3.967373 | lrm: 1.00 | dt: 207ms | tok/sec: 158,213 | mfu: 0.8% | epoch: 1 | remaining: 235s    
step 00327 (21.7%) | loss: 3.964664 | lrm: 1.00 | dt: 208ms | tok/sec: 157,907 | mfu: 0.8% | epoch: 1 | remaining: 235s    
step 00328 (21.8%) | loss: 3.965391 | lrm: 1.00 | dt: 207ms | tok/sec: 158,462 | mfu: 0.8% | epoch: 1 | remaining: 234s    
step 00329 (21.8%) | loss: 3.953559 | lrm: 1.00 | dt: 207ms | tok/sec: 158,287 | mfu: 0.8% | epoch: 1 | remaining: 234s    
step 00330 (21.9%) | loss: 3.948172 | lrm: 1.00 | dt: 207ms | tok/sec: 158,528 | mfu: 0.8% | epoch: 1 | remaining: 234s    
step 00331 (22.0%) | loss: 3.946890 | lrm: 1.00 | dt: 207ms | tok/sec: 158,582 | mfu: 0.8% | epoch: 1 | remaining: 234s    
step 00332 (22.0%) | loss: 3.955017 | lrm: 1.00 | dt: 208ms | tok/sec: 157,403 | mfu: 0.8% | epoch: 1 | remaining: 234s    
step 00333 (22.1%) | loss: 3.940347 | lrm: 1.00 | dt: 208ms | tok/sec: 157,291 | mfu: 0.8% | epoch: 1 | remaining: 233s    
step 00334 (22.2%) | loss: 3.945556 | lrm: 1.00 | dt: 207ms | tok/sec: 158,039 | mfu: 0.8% | epoch: 1 | remaining: 233s    
step 00335 (22.3%) | loss: 3.939546 | lrm: 1.00 | dt: 207ms | tok/sec: 158,679 | mfu: 0.8% | epoch: 1 | remaining: 233s    
step 00336 (22.3%) | loss: 3.932251 | lrm: 1.00 | dt: 208ms | tok/sec: 157,330 | mfu: 0.8% | epoch: 1 | remaining: 233s    
step 00337 (22.4%) | loss: 3.938224 | lrm: 1.00 | dt: 208ms | tok/sec: 157,821 | mfu: 0.8% | epoch: 1 | remaining: 233s    
step 00338 (22.5%) | loss: 3.938912 | lrm: 1.00 | dt: 208ms | tok/sec: 157,331 | mfu: 0.8% | epoch: 1 | remaining: 232s    
step 00339 (22.5%) | loss: 3.935603 | lrm: 1.00 | dt: 206ms | tok/sec: 158,877 | mfu: 0.8% | epoch: 1 | remaining: 232s    
step 00340 (22.6%) | loss: 3.947368 | lrm: 1.00 | dt: 207ms | tok/sec: 158,175 | mfu: 0.8% | epoch: 1 | remaining: 232s    
step 00341 (22.7%) | loss: 3.963623 | lrm: 1.00 | dt: 207ms | tok/sec: 158,455 | mfu: 0.8% | epoch: 1 | remaining: 232s    
step 00342 (22.7%) | loss: 3.943879 | lrm: 1.00 | dt: 208ms | tok/sec: 157,847 | mfu: 0.8% | epoch: 1 | remaining: 232s    
step 00343 (22.8%) | loss: 3.956436 | lrm: 1.00 | dt: 207ms | tok/sec: 158,271 | mfu: 0.8% | epoch: 1 | remaining: 231s    
step 00344 (22.9%) | loss: 3.957457 | lrm: 1.00 | dt: 207ms | tok/sec: 158,091 | mfu: 0.8% | epoch: 1 | remaining: 231s    
step 00345 (22.9%) | loss: 3.949227 | lrm: 1.00 | dt: 208ms | tok/sec: 157,895 | mfu: 0.8% | epoch: 1 | remaining: 231s    
step 00346 (23.0%) | loss: 3.938635 | lrm: 1.00 | dt: 206ms | tok/sec: 158,802 | mfu: 0.8% | epoch: 1 | remaining: 231s    
step 00347 (23.1%) | loss: 3.936950 | lrm: 1.00 | dt: 208ms | tok/sec: 157,403 | mfu: 0.8% | epoch: 1 | remaining: 231s    
step 00348 (23.2%) | loss: 3.935004 | lrm: 1.00 | dt: 208ms | tok/sec: 157,356 | mfu: 0.8% | epoch: 1 | remaining: 230s    
step 00349 (23.2%) | loss: 3.938980 | lrm: 1.00 | dt: 208ms | tok/sec: 157,810 | mfu: 0.8% | epoch: 1 | remaining: 230s    
step 00350 (23.3%) | loss: 3.928416 | lrm: 1.00 | dt: 207ms | tok/sec: 158,452 | mfu: 0.8% | epoch: 1 | remaining: 230s    
step 00351 (23.4%) | loss: 3.920810 | lrm: 1.00 | dt: 207ms | tok/sec: 158,306 | mfu: 0.8% | epoch: 1 | remaining: 230s    
step 00352 (23.4%) | loss: 3.928563 | lrm: 1.00 | dt: 208ms | tok/sec: 157,308 | mfu: 0.8% | epoch: 1 | remaining: 229s    
step 00353 (23.5%) | loss: 3.933119 | lrm: 1.00 | dt: 207ms | tok/sec: 158,173 | mfu: 0.8% | epoch: 1 | remaining: 229s    
step 00354 (23.6%) | loss: 3.934725 | lrm: 1.00 | dt: 208ms | tok/sec: 157,557 | mfu: 0.8% | epoch: 1 | remaining: 229s    
step 00355 (23.6%) | loss: 3.923809 | lrm: 1.00 | dt: 208ms | tok/sec: 157,868 | mfu: 0.8% | epoch: 1 | remaining: 229s    
step 00356 (23.7%) | loss: 3.925152 | lrm: 1.00 | dt: 209ms | tok/sec: 157,155 | mfu: 0.8% | epoch: 1 | remaining: 229s    
step 00357 (23.8%) | loss: 3.928277 | lrm: 1.00 | dt: 206ms | tok/sec: 158,807 | mfu: 0.8% | epoch: 1 | remaining: 228s    
step 00358 (23.8%) | loss: 3.924421 | lrm: 1.00 | dt: 208ms | tok/sec: 157,878 | mfu: 0.8% | epoch: 1 | remaining: 228s    
step 00359 (23.9%) | loss: 3.910980 | lrm: 1.00 | dt: 208ms | tok/sec: 157,691 | mfu: 0.8% | epoch: 1 | remaining: 228s    
step 00360 (24.0%) | loss: 3.917834 | lrm: 1.00 | dt: 207ms | tok/sec: 158,012 | mfu: 0.8% | epoch: 1 | remaining: 228s    
step 00361 (24.1%) | loss: 3.905765 | lrm: 1.00 | dt: 207ms | tok/sec: 157,959 | mfu: 0.8% | epoch: 1 | remaining: 228s    
step 00362 (24.1%) | loss: 3.905899 | lrm: 1.00 | dt: 207ms | tok/sec: 158,034 | mfu: 0.8% | epoch: 1 | remaining: 227s    
step 00363 (24.2%) | loss: 3.902675 | lrm: 1.00 | dt: 208ms | tok/sec: 157,184 | mfu: 0.8% | epoch: 1 | remaining: 227s    
step 00364 (24.3%) | loss: 3.914015 | lrm: 1.00 | dt: 208ms | tok/sec: 157,747 | mfu: 0.8% | epoch: 1 | remaining: 227s    
step 00365 (24.3%) | loss: 3.913904 | lrm: 1.00 | dt: 208ms | tok/sec: 157,234 | mfu: 0.8% | epoch: 1 | remaining: 227s    
step 00366 (24.4%) | loss: 3.920981 | lrm: 1.00 | dt: 208ms | tok/sec: 157,849 | mfu: 0.8% | epoch: 1 | remaining: 227s    
step 00367 (24.5%) | loss: 3.920031 | lrm: 1.00 | dt: 207ms | tok/sec: 158,102 | mfu: 0.8% | epoch: 1 | remaining: 226s    
step 00368 (24.5%) | loss: 3.931463 | lrm: 1.00 | dt: 208ms | tok/sec: 157,773 | mfu: 0.8% | epoch: 1 | remaining: 226s    
step 00369 (24.6%) | loss: 3.925926 | lrm: 1.00 | dt: 209ms | tok/sec: 157,143 | mfu: 0.8% | epoch: 1 | remaining: 226s    
step 00370 (24.7%) | loss: 3.918133 | lrm: 1.00 | dt: 207ms | tok/sec: 158,197 | mfu: 0.8% | epoch: 1 | remaining: 226s    
step 00371 (24.7%) | loss: 3.910558 | lrm: 1.00 | dt: 207ms | tok/sec: 158,263 | mfu: 0.8% | epoch: 1 | remaining: 226s    
step 00372 (24.8%) | loss: 3.907292 | lrm: 1.00 | dt: 208ms | tok/sec: 157,643 | mfu: 0.8% | epoch: 1 | remaining: 225s    
step 00373 (24.9%) | loss: 3.911039 | lrm: 1.00 | dt: 208ms | tok/sec: 157,196 | mfu: 0.8% | epoch: 1 | remaining: 225s    
step 00374 (25.0%) | loss: 3.894918 | lrm: 1.00 | dt: 207ms | tok/sec: 158,267 | mfu: 0.8% | epoch: 1 | remaining: 225s    
step 00375 (25.0%) | loss: 3.897029 | lrm: 1.00 | dt: 208ms | tok/sec: 157,806 | mfu: 0.8% | epoch: 1 | remaining: 225s    
step 00376 (25.1%) | loss: 3.897178 | lrm: 1.00 | dt: 207ms | tok/sec: 158,154 | mfu: 0.8% | epoch: 1 | remaining: 225s    
step 00377 (25.2%) | loss: 3.896186 | lrm: 1.00 | dt: 209ms | tok/sec: 157,142 | mfu: 0.8% | epoch: 1 | remaining: 224s    
step 00378 (25.2%) | loss: 3.884128 | lrm: 1.00 | dt: 207ms | tok/sec: 157,952 | mfu: 0.8% | epoch: 1 | remaining: 224s    
step 00379 (25.3%) | loss: 3.894831 | lrm: 1.00 | dt: 208ms | tok/sec: 157,602 | mfu: 0.8% | epoch: 1 | remaining: 224s    
step 00380 (25.4%) | loss: 3.880424 | lrm: 1.00 | dt: 208ms | tok/sec: 157,217 | mfu: 0.8% | epoch: 1 | remaining: 224s    
step 00381 (25.4%) | loss: 3.878726 | lrm: 1.00 | dt: 208ms | tok/sec: 157,666 | mfu: 0.8% | epoch: 1 | remaining: 223s    
step 00382 (25.5%) | loss: 3.864640 | lrm: 1.00 | dt: 208ms | tok/sec: 157,897 | mfu: 0.8% | epoch: 1 | remaining: 223s    
step 00383 (25.6%) | loss: 3.877367 | lrm: 1.00 | dt: 207ms | tok/sec: 157,997 | mfu: 0.8% | epoch: 1 | remaining: 223s    
step 00384 (25.6%) | loss: 3.865088 | lrm: 1.00 | dt: 208ms | tok/sec: 157,393 | mfu: 0.8% | epoch: 1 | remaining: 223s    
step 00385 (25.7%) | loss: 3.874210 | lrm: 1.00 | dt: 207ms | tok/sec: 158,377 | mfu: 0.8% | epoch: 1 | remaining: 223s    
step 00386 (25.8%) | loss: 3.862945 | lrm: 1.00 | dt: 207ms | tok/sec: 158,376 | mfu: 0.8% | epoch: 1 | remaining: 222s    
step 00387 (25.9%) | loss: 3.878192 | lrm: 1.00 | dt: 208ms | tok/sec: 157,806 | mfu: 0.8% | epoch: 1 | remaining: 222s    
step 00388 (25.9%) | loss: 3.873985 | lrm: 1.00 | dt: 208ms | tok/sec: 157,457 | mfu: 0.8% | epoch: 1 | remaining: 222s    
step 00389 (26.0%) | loss: 3.869288 | lrm: 1.00 | dt: 208ms | tok/sec: 157,814 | mfu: 0.8% | epoch: 1 | remaining: 222s    
step 00390 (26.1%) | loss: 3.860662 | lrm: 1.00 | dt: 208ms | tok/sec: 157,739 | mfu: 0.8% | epoch: 1 | remaining: 222s    
step 00391 (26.1%) | loss: 3.859844 | lrm: 1.00 | dt: 207ms | tok/sec: 157,978 | mfu: 0.8% | epoch: 1 | remaining: 221s    
step 00392 (26.2%) | loss: 3.864270 | lrm: 1.00 | dt: 207ms | tok/sec: 158,063 | mfu: 0.8% | epoch: 1 | remaining: 221s    
step 00393 (26.3%) | loss: 3.854758 | lrm: 1.00 | dt: 209ms | tok/sec: 156,981 | mfu: 0.8% | epoch: 1 | remaining: 221s    
step 00394 (26.3%) | loss: 3.838232 | lrm: 1.00 | dt: 208ms | tok/sec: 157,598 | mfu: 0.8% | epoch: 1 | remaining: 221s    
step 00395 (26.4%) | loss: 3.833073 | lrm: 1.00 | dt: 209ms | tok/sec: 157,079 | mfu: 0.8% | epoch: 1 | remaining: 221s    
step 00396 (26.5%) | loss: 3.833349 | lrm: 1.00 | dt: 207ms | tok/sec: 158,679 | mfu: 0.8% | epoch: 1 | remaining: 220s    
step 00397 (26.5%) | loss: 3.832651 | lrm: 1.00 | dt: 208ms | tok/sec: 157,636 | mfu: 0.8% | epoch: 1 | remaining: 220s    
step 00398 (26.6%) | loss: 3.848858 | lrm: 1.00 | dt: 207ms | tok/sec: 158,334 | mfu: 0.8% | epoch: 1 | remaining: 220s    
step 00399 (26.7%) | loss: 3.841483 | lrm: 1.00 | dt: 209ms | tok/sec: 156,955 | mfu: 0.8% | epoch: 1 | remaining: 220s    
step 00400 (26.8%) | loss: 3.854877 | lrm: 1.00 | dt: 208ms | tok/sec: 157,880 | mfu: 0.8% | epoch: 1 | remaining: 220s    
step 00401 (26.8%) | loss: 3.858021 | lrm: 1.00 | dt: 207ms | tok/sec: 158,233 | mfu: 0.8% | epoch: 1 | remaining: 219s    
step 00402 (26.9%) | loss: 3.867258 | lrm: 1.00 | dt: 207ms | tok/sec: 158,433 | mfu: 0.8% | epoch: 1 | remaining: 219s    
step 00403 (27.0%) | loss: 3.871274 | lrm: 1.00 | dt: 207ms | tok/sec: 158,095 | mfu: 0.8% | epoch: 1 | remaining: 219s    
step 00404 (27.0%) | loss: 3.864675 | lrm: 1.00 | dt: 210ms | tok/sec: 156,327 | mfu: 0.8% | epoch: 1 | remaining: 219s    
step 00405 (27.1%) | loss: 3.864865 | lrm: 1.00 | dt: 207ms | tok/sec: 157,998 | mfu: 0.8% | epoch: 1 | remaining: 218s    
step 00406 (27.2%) | loss: 3.867428 | lrm: 1.00 | dt: 207ms | tok/sec: 158,311 | mfu: 0.8% | epoch: 1 | remaining: 218s    
step 00407 (27.2%) | loss: 3.885040 | lrm: 1.00 | dt: 207ms | tok/sec: 158,350 | mfu: 0.8% | epoch: 1 | remaining: 218s    
step 00408 (27.3%) | loss: 3.874129 | lrm: 1.00 | dt: 208ms | tok/sec: 157,420 | mfu: 0.8% | epoch: 1 | remaining: 218s    
step 00409 (27.4%) | loss: 3.875791 | lrm: 1.00 | dt: 207ms | tok/sec: 157,954 | mfu: 0.8% | epoch: 1 | remaining: 218s    
step 00410 (27.4%) | loss: 3.870932 | lrm: 1.00 | dt: 208ms | tok/sec: 157,363 | mfu: 0.8% | epoch: 1 | remaining: 217s    
step 00411 (27.5%) | loss: 3.873912 | lrm: 1.00 | dt: 207ms | tok/sec: 158,304 | mfu: 0.8% | epoch: 1 | remaining: 217s    
step 00412 (27.6%) | loss: 3.878439 | lrm: 1.00 | dt: 207ms | tok/sec: 157,979 | mfu: 0.8% | epoch: 1 | remaining: 217s    
step 00413 (27.7%) | loss: 3.873148 | lrm: 1.00 | dt: 207ms | tok/sec: 158,106 | mfu: 0.8% | epoch: 1 | remaining: 217s    
step 00414 (27.7%) | loss: 3.850827 | lrm: 1.00 | dt: 207ms | tok/sec: 158,574 | mfu: 0.8% | epoch: 1 | remaining: 217s    
step 00415 (27.8%) | loss: 3.848122 | lrm: 1.00 | dt: 209ms | tok/sec: 156,810 | mfu: 0.8% | epoch: 1 | remaining: 216s    
step 00416 (27.9%) | loss: 3.825632 | lrm: 1.00 | dt: 208ms | tok/sec: 157,780 | mfu: 0.8% | epoch: 1 | remaining: 216s    
step 00417 (27.9%) | loss: 3.840165 | lrm: 1.00 | dt: 206ms | tok/sec: 158,719 | mfu: 0.8% | epoch: 1 | remaining: 216s    
step 00418 (28.0%) | loss: 3.851877 | lrm: 1.00 | dt: 208ms | tok/sec: 157,722 | mfu: 0.8% | epoch: 1 | remaining: 216s    
step 00419 (28.1%) | loss: 3.852160 | lrm: 1.00 | dt: 209ms | tok/sec: 156,887 | mfu: 0.8% | epoch: 1 | remaining: 216s    
step 00420 (28.1%) | loss: 3.858048 | lrm: 1.00 | dt: 209ms | tok/sec: 156,492 | mfu: 0.8% | epoch: 1 | remaining: 215s    
step 00421 (28.2%) | loss: 3.856160 | lrm: 1.00 | dt: 207ms | tok/sec: 158,129 | mfu: 0.8% | epoch: 1 | remaining: 215s    
step 00422 (28.3%) | loss: 3.858293 | lrm: 1.00 | dt: 207ms | tok/sec: 158,079 | mfu: 0.8% | epoch: 1 | remaining: 215s    
step 00423 (28.3%) | loss: 3.849883 | lrm: 1.00 | dt: 208ms | tok/sec: 157,386 | mfu: 0.8% | epoch: 1 | remaining: 215s    
step 00424 (28.4%) | loss: 3.847838 | lrm: 1.00 | dt: 208ms | tok/sec: 157,769 | mfu: 0.8% | epoch: 1 | remaining: 215s    
step 00425 (28.5%) | loss: 3.838525 | lrm: 1.00 | dt: 208ms | tok/sec: 157,323 | mfu: 0.8% | epoch: 1 | remaining: 214s    
step 00426 (28.6%) | loss: 3.833307 | lrm: 1.00 | dt: 207ms | tok/sec: 158,381 | mfu: 0.8% | epoch: 1 | remaining: 214s    
step 00427 (28.6%) | loss: 3.847585 | lrm: 1.00 | dt: 209ms | tok/sec: 157,014 | mfu: 0.8% | epoch: 1 | remaining: 214s    
step 00428 (28.7%) | loss: 3.863103 | lrm: 1.00 | dt: 207ms | tok/sec: 158,669 | mfu: 0.8% | epoch: 1 | remaining: 214s    
step 00429 (28.8%) | loss: 3.857878 | lrm: 1.00 | dt: 208ms | tok/sec: 157,706 | mfu: 0.8% | epoch: 1 | remaining: 214s    
step 00430 (28.8%) | loss: 3.846440 | lrm: 1.00 | dt: 208ms | tok/sec: 157,675 | mfu: 0.8% | epoch: 1 | remaining: 213s    
step 00431 (28.9%) | loss: 3.839502 | lrm: 1.00 | dt: 208ms | tok/sec: 157,442 | mfu: 0.8% | epoch: 1 | remaining: 213s    
step 00432 (29.0%) | loss: 3.833730 | lrm: 1.00 | dt: 208ms | tok/sec: 157,882 | mfu: 0.8% | epoch: 1 | remaining: 213s    
step 00433 (29.0%) | loss: 3.816909 | lrm: 1.00 | dt: 208ms | tok/sec: 157,703 | mfu: 0.8% | epoch: 1 | remaining: 213s    
step 00434 (29.1%) | loss: 3.818684 | lrm: 1.00 | dt: 209ms | tok/sec: 157,083 | mfu: 0.8% | epoch: 1 | remaining: 212s    
step 00435 (29.2%) | loss: 3.814689 | lrm: 1.00 | dt: 208ms | tok/sec: 157,573 | mfu: 0.8% | epoch: 1 | remaining: 212s    
step 00436 (29.2%) | loss: 3.807985 | lrm: 1.00 | dt: 208ms | tok/sec: 157,493 | mfu: 0.8% | epoch: 1 | remaining: 212s    
step 00437 (29.3%) | loss: 3.799835 | lrm: 1.00 | dt: 208ms | tok/sec: 157,894 | mfu: 0.8% | epoch: 1 | remaining: 212s    
step 00438 (29.4%) | loss: 3.802449 | lrm: 1.00 | dt: 208ms | tok/sec: 157,875 | mfu: 0.8% | epoch: 1 | remaining: 212s    
step 00439 (29.5%) | loss: 3.799019 | lrm: 1.00 | dt: 208ms | tok/sec: 157,550 | mfu: 0.8% | epoch: 1 | remaining: 211s    
step 00440 (29.5%) | loss: 3.800208 | lrm: 1.00 | dt: 209ms | tok/sec: 157,151 | mfu: 0.8% | epoch: 1 | remaining: 211s    
step 00441 (29.6%) | loss: 3.798612 | lrm: 1.00 | dt: 209ms | tok/sec: 156,871 | mfu: 0.8% | epoch: 1 | remaining: 211s    
step 00442 (29.7%) | loss: 3.799798 | lrm: 1.00 | dt: 207ms | tok/sec: 158,260 | mfu: 0.8% | epoch: 1 | remaining: 211s    
step 00443 (29.7%) | loss: 3.803223 | lrm: 1.00 | dt: 207ms | tok/sec: 157,942 | mfu: 0.8% | epoch: 1 | remaining: 211s    
step 00444 (29.8%) | loss: 3.818350 | lrm: 1.00 | dt: 209ms | tok/sec: 156,781 | mfu: 0.8% | epoch: 1 | remaining: 210s    
step 00445 (29.9%) | loss: 3.823501 | lrm: 1.00 | dt: 208ms | tok/sec: 157,472 | mfu: 0.8% | epoch: 1 | remaining: 210s    
step 00446 (29.9%) | loss: 3.840174 | lrm: 1.00 | dt: 209ms | tok/sec: 157,101 | mfu: 0.8% | epoch: 1 | remaining: 210s    
step 00447 (30.0%) | loss: 3.826575 | lrm: 1.00 | dt: 207ms | tok/sec: 158,604 | mfu: 0.8% | epoch: 1 | remaining: 210s    
step 00448 (30.1%) | loss: 3.832591 | lrm: 1.00 | dt: 208ms | tok/sec: 157,222 | mfu: 0.8% | epoch: 1 | remaining: 210s    
step 00449 (30.1%) | loss: 3.849927 | lrm: 1.00 | dt: 208ms | tok/sec: 157,457 | mfu: 0.8% | epoch: 1 | remaining: 209s    
step 00450 (30.2%) | loss: 3.844564 | lrm: 1.00 | dt: 208ms | tok/sec: 157,326 | mfu: 0.8% | epoch: 1 | remaining: 209s    
step 00451 (30.3%) | loss: 3.837816 | lrm: 1.00 | dt: 207ms | tok/sec: 157,931 | mfu: 0.8% | epoch: 1 | remaining: 209s    
step 00452 (30.4%) | loss: 3.831445 | lrm: 1.00 | dt: 209ms | tok/sec: 157,127 | mfu: 0.8% | epoch: 1 | remaining: 209s    
step 00453 (30.4%) | loss: 3.834778 | lrm: 1.00 | dt: 207ms | tok/sec: 158,118 | mfu: 0.8% | epoch: 1 | remaining: 209s    
step 00454 (30.5%) | loss: 3.838396 | lrm: 1.00 | dt: 209ms | tok/sec: 157,011 | mfu: 0.8% | epoch: 1 | remaining: 208s    
step 00455 (30.6%) | loss: 3.844021 | lrm: 1.00 | dt: 208ms | tok/sec: 157,256 | mfu: 0.8% | epoch: 1 | remaining: 208s    
step 00456 (30.6%) | loss: 3.832309 | lrm: 1.00 | dt: 207ms | tok/sec: 158,427 | mfu: 0.8% | epoch: 1 | remaining: 208s    
step 00457 (30.7%) | loss: 3.828970 | lrm: 1.00 | dt: 208ms | tok/sec: 157,634 | mfu: 0.8% | epoch: 1 | remaining: 208s    
step 00458 (30.8%) | loss: 3.830082 | lrm: 1.00 | dt: 208ms | tok/sec: 157,282 | mfu: 0.8% | epoch: 1 | remaining: 207s    
step 00459 (30.8%) | loss: 3.823831 | lrm: 1.00 | dt: 207ms | tok/sec: 157,959 | mfu: 0.8% | epoch: 1 | remaining: 207s    
step 00460 (30.9%) | loss: 3.821207 | lrm: 1.00 | dt: 208ms | tok/sec: 157,913 | mfu: 0.8% | epoch: 1 | remaining: 207s    
step 00461 (31.0%) | loss: 3.818480 | lrm: 1.00 | dt: 207ms | tok/sec: 157,942 | mfu: 0.8% | epoch: 1 | remaining: 207s    
step 00462 (31.0%) | loss: 3.818503 | lrm: 1.00 | dt: 208ms | tok/sec: 157,214 | mfu: 0.8% | epoch: 1 | remaining: 207s    
step 00463 (31.1%) | loss: 3.828113 | lrm: 1.00 | dt: 207ms | tok/sec: 157,997 | mfu: 0.8% | epoch: 1 | remaining: 206s    
step 00464 (31.2%) | loss: 3.832273 | lrm: 1.00 | dt: 208ms | tok/sec: 157,235 | mfu: 0.8% | epoch: 1 | remaining: 206s    
step 00465 (31.3%) | loss: 3.839804 | lrm: 1.00 | dt: 209ms | tok/sec: 156,842 | mfu: 0.8% | epoch: 1 | remaining: 206s    
step 00466 (31.3%) | loss: 3.836214 | lrm: 1.00 | dt: 209ms | tok/sec: 156,514 | mfu: 0.8% | epoch: 1 | remaining: 206s    
step 00467 (31.4%) | loss: 3.835603 | lrm: 1.00 | dt: 206ms | tok/sec: 158,734 | mfu: 0.8% | epoch: 1 | remaining: 206s    
step 00468 (31.5%) | loss: 3.841589 | lrm: 1.00 | dt: 208ms | tok/sec: 157,769 | mfu: 0.8% | epoch: 1 | remaining: 205s    
step 00469 (31.5%) | loss: 3.832195 | lrm: 1.00 | dt: 209ms | tok/sec: 157,026 | mfu: 0.8% | epoch: 1 | remaining: 205s    
step 00470 (31.6%) | loss: 3.835103 | lrm: 1.00 | dt: 209ms | tok/sec: 157,009 | mfu: 0.8% | epoch: 1 | remaining: 205s    
step 00471 (31.7%) | loss: 3.810971 | lrm: 1.00 | dt: 208ms | tok/sec: 157,628 | mfu: 0.8% | epoch: 1 | remaining: 205s    
step 00472 (31.7%) | loss: 3.820094 | lrm: 1.00 | dt: 208ms | tok/sec: 157,671 | mfu: 0.8% | epoch: 1 | remaining: 205s    
step 00473 (31.8%) | loss: 3.807600 | lrm: 1.00 | dt: 209ms | tok/sec: 157,128 | mfu: 0.8% | epoch: 1 | remaining: 204s    
step 00474 (31.9%) | loss: 3.808880 | lrm: 1.00 | dt: 208ms | tok/sec: 157,272 | mfu: 0.8% | epoch: 1 | remaining: 204s    
